,uf,id_municipio,nome_municipio,ideb_2017,aluno_turma,hora_aula,prof_cs,aprovacao,reprovacao,abandono,distorcao,promocao,repetencia,evasao,migracao_eja
0,RO,1100015,Alta Floresta D'Oeste,3.9,17.8,6.2,99.1,88.1,4.7,7.2,25.1,83.8,5.2,9.1,1.9
1,RO,1100023,Ariquemes,3.8,28.0,5.2,98.1,82.6,6.6,10.8,34.4,77.8,7.1,9.9,5.2
2,RO,1100031,Cabixi,3.7,16.4,5.3,100.0,94.9,1.3,3.8,27.8,83.1,2.2,12.4,2.3
3,RO,1100049,Cacoal,3.7,24.3,5.4,96.4,89.1,4.2,6.7,32.6,83.5,5.9,7.9,2.7
4,RO,1100056,Cerejeiras,3.8,23.1,5.7,100.0,80.2,12.3,7.5,26.9,73.2,11.4,7.7,7.7
5,RO,1100064,Colorado do Oeste,4.0,16.9,4.3,100.0,90.2,6.3,3.5,24.8,85.6,6.9,6,1.5
6,RO,1100072,Corumbiara,3.9,15.6,4.0,100.0,97.4,0.5,2.1,31.5,81.4,0.5,15.6,2.5
7,RO,1100080,Costa Marques,3.8,26.3,4.0,98.4,89,2.7,8.3,37.2,81.5,3.8,9.7,5
8,RO,1100098,Espigão D'Oeste,4.1,25.4,5.4,97.8,85.9,2.6,11.5,32.7,79.7,3.1,13.7,3.5
9,RO,1100106,Guajará-Mirim,3.1,29.1,5.6,98.7,77.3,14.5,8.2,42,72.2,6.5,14.6,6.7
10,RO,1100114,Jaru,3.7,22.5,4.9,97.8,89.3,5.4,5.3,28,83.5,3.6,9.3,3.6
11,RO,1100122,Ji-Paraná,4.0,27.3,4.5,96.8,87.7,6.8,5.5,27.2,82.5,4.8,7.8,4.9
12,RO,1100130,Machadinho D'Oeste,4.3,21.8,3.9,89.4,93.5,1.2,5.3,38.1,82,3,10.3,4.7
13,RO,1100155,Ouro Preto do Oeste,3.7,27.3,4.1,96.6,77.1,20.4,2.5,35.2,68.4,13,8.7,9.9
14,RO,1100189,Pimenta Bueno,3.5,29.8,6.6,98.8,90.4,4.4,5.2,34.2,83.9,4,8.3,3.8
15,RO,1100205,Porto Velho,3.6,29.4,4.5,97.1,78.9,13,8.1,39.3,72.5,8.7,9.2,9.6
16,RO,1100254,Presidente Médici,4.3,22.1,4.2,99.2,96.9,1.5,1.6,26.8,87.3,1.3,7.9,3.5
17,RO,1100262,Rio Crespo,4.3,20.1,4.0,100.0,92.7,6.4,0.9,32,79.3,6,11.2,3.5
18,RO,1100288,Rolim de Moura,4.4,25.1,5.1,97.3,92.2,3.1,4.7,32.6,82.5,4.7,9.6,3.2
19,RO,1100296,Santa Luzia D'Oeste,4.2,20.7,5.1,100.0,100,0,0,19.7,95.6,0.4,3.1,0.9
20,RO,1100304,Vilhena,3.1,26.6,4.1,98.1,66.7,23,10.3,33,65.7,16.8,10.4,7.1
21,RO,1100320,São Miguel do Guaporé,3.8,30.9,4.0,100.0,97.6,1.6,0.8,25,85.3,0.6,6.3,7.8
22,RO,1100338,Nova Mamoré,3.7,28.8,4.3,97.5,87.4,1.9,10.7,33.7,82.1,3.9,10.6,3.4
23,RO,1100346,Alvorada D'Oeste,3.8,25.5,4.0,96.3,91,9,0,24,84.4,4.4,7.9,3.3
24,RO,1100379,Alto Alegre dos Parecis,4.1,18.2,4.0,97.4,92.3,4,3.7,30.4,87.1,2.7,8,2.2
25,RO,1100403,Alto Paraíso,3.1,28.7,3.7,100.0,79.1,19.4,1.5,32.8,72,9.2,13.2,5.6
26,RO,1100452,Buritis,3.8,29.8,4.3,93.7,89.7,7.9,2.4,32.1,80,3.8,11.7,4.5
27,RO,1100502,Novo Horizonte do Oeste,4.1,20.5,4.6,97.8,92.2,7.5,0.3,27.4,85.8,2.5,9.6,2.1
28,RO,1100601,Cacaulândia,4.1,15.1,4.0,100.0,87.6,5.2,7.2,24.6,80.5,5.9,12.4,1.2
29,RO,1100700,Campo Novo de Rondônia,3.7,23.0,4.2,97.6,87.7,2.3,10,32.5,77.7,6.4,15.3,0.6
30,RO,1100809,Candeias do Jamari,3.7,32.2,4.2,95.3,79.9,9.3,10.8,47.1,67.5,6.3,14.1,12.1
31,RO,1100908,Castanheiras,4.3,22.3,4.0,100.0,96.7,1.7,1.6,29.9,85.2,0,10.9,3.9
32,RO,1100924,Chupinguaia,3.0,23.3,4.1,96.8,78.2,2.9,18.9,41.4,70.5,6.3,21.7,1.5
33,RO,1100940,Cujubim,3.5,25.3,4.2,88.0,78.1,8.8,13.1,39,70,8.8,14.5,6.7
34,RO,1101005,Governador Jorge Teixeira,4.1,22.8,5.2,97.6,97.4,0.9,1.7,32.3,88,1.9,8.2,1.9
35,RO,1101104,Itapuã do Oeste,3.7,25.2,4.3,100.0,80.6,8.9,10.5,29.8,71,11.4,7.1,10.5
36,RO,1101203,Ministro Andreazza,4.1,24.1,4.0,97.3,94.2,0.9,4.9,21.9,89.8,2.4,6.9,0.9
37,RO,1101302,Mirante da Serra,3.1,31.7,4.0,95.0,77.9,3.5,18.6,34.2,76.3,7.1,14.9,1.7
38,RO,1101401,Monte Negro,3.9,23.5,4.2,100.0,93.5,3.2,3.3,29.4,85.2,3.4,9.9,1.5
39,RO,1101435,Nova União,3.4,28.4,3.9,100.0,75.8,9,15.2,34.4,70.7,8.2,12.5,8.6
40,RO,1101450,Parecis,3.7,15.4,4.0,100.0,97.8,0,2.2,30.5,93.1,2.3,4.6,0
41,RO,1101468,Pimenteiras do Oeste,3.4,25.8,4.0,100.0,86.3,8.4,5.3,34,84.8,5.1,9.1,1
42,RO,1101476,Primavera de Rondônia,4.6,18.6,4.7,100.0,98.4,0,1.6,30.8,91,0.8,5.3,2.9
43,RO,1101484,São Felipe D'Oeste,3.9,16.7,4.0,97.0,86.7,3.9,9.4,37.5,78.6,7,8,6.4
